iter,cost
1703,25.828229
1704,25.828226
1705,25.828222
1706,25.828219
1707,25.828215
1708,25.828211
1709,25.828208
1710,25.828204
1711,25.828200
1712,25.828197
1713,25.828193
1714,25.828190
1715,25.828186
1716,25.828182
1717,25.828179
1718,25.828175
1719,25.828172
1720,25.828168
1721,25.828164
1722,25.828161
1723,25.828157
1724,25.828153
1725,25.828150
1726,25.828146
1727,25.828143
1728,25.828139
1729,25.828135
1730,25.828132
1731,25.828128
1732,25.828125
1733,25.828121
1734,25.828118
1735,25.828114
1736,25.828110
1737,25.828107
1738,25.828103
1739,25.828100
1740,25.828096
1741,25.828092
1742,25.828089
1743,25.828085
1744,25.828082
1745,25.828078
1746,25.828074
1747,25.828071
1748,25.828067
1749,25.828064
1750,25.828060
1751,25.828057
1752,25.828053
1753,25.828049
1754,25.828046
1755,25.828042
1756,25.828039
1757,25.828035
1758,25.828032
1759,25.828028
1760,25.828024
1761,25.828021
1762,25.828017
1763,25.828014
1764,25.828010
1765,25.828007
1766,25.828003
1767,25.828000
1768,25.827996
1769,25.827992
1770,25.827989
1771,25.827985
1772,25.827982
1773,25.827978
1774,25.827975
1775,25.827971
1776,25.827968
1777,25.827964
1778,25.827960
1779,25.827957
1780,25.827953
1781,25.827950
1782,25.827946
1783,25.827943
1784,25.827939
1785,25.827936
1786,25.827932
1787,25.827929
1788,25.827925
1789,25.827922
1790,25.827918
1791,25.827914
1792,25.827911
1793,25.827907
1794,25.827904
1795,25.827900
1796,25.827897
1797,25.827893
1798,25.827890
1799,25.827886
1800,25.827883
1801,25.827879
1802,25.827876
1803,25.827872
1804,25.827869
1805,25.827865
1806,25.827862
1807,25.827858
1808,25.827855
1809,25.827851
1810,25.827848
1811,25.827844
1812,25.827841
1813,25.827837
1814,25.827834
1815,25.827830
1816,25.827827
1817,25.827823
1818,25.827820
1819,25.827816
1820,25.827813
1821,25.827809
1822,25.827806
1823,25.827802
1824,25.827799
1825,25.827795
1826,25.827792
1827,25.827788
1828,25.827785
1829,25.827781
1830,25.827778
1831,25.827774
1832,25.827771
1833,25.827767
1834,25.827764
1835,25.827760
1836,25.827757
1837,25.827753
1838,25.827750
1839,25.827746
1840,25.827743
1841,25.827739
1842,25.827736
1843,25.827732
1844,25.827729
1845,25.827725
1846,25.827722
1847,25.827718
1848,25.827715
1849,25.827712
1850,25.827708
1851,25.827705
1852,25.827701
1853,25.827698
1854,25.827694
1855,25.827691
1856,25.827687
1857,25.827684
1858,25.827680
1859,25.827677
1860,25.827673
1861,25.827670
1862,25.827667
1863,25.827663
1864,25.827660
1865,25.827656
1866,25.827653
1867,25.827649
1868,25.827646
1869,25.827642
